Id,Name,Ratings,Current_Price,Original_Price,Discount,Features
879,NIKON D7500 DSLR Camera Body with 18,4.6,"₹72,990","₹94,950",23%,4K UHD
880,DIGITEK GoCAM DAC,3.5,"₹8,999","₹14,995",39%, 48 MP5K1 year carry in warranty
881,DIGITEK GoCAM DAC,3.6,"₹6,499","₹10,995",40%, 24 MP4K1 year carry in warranty
882,Insta360 X4 Sports and Action Camera,4.4,"₹54,990","₹59,990",8%, 72 MPHDR1 Year Warranty
883,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
884,SONY Alpha ILCE,4.6,"₹65,489","₹80,490",18%,4K movies and pro-level features
885,Henzila E99 TOY Drone,4,"₹2,499","₹9,999",75%, Professional DroneControl Range
886,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
887,dji Osmo OSMO POCKET 2 Sports and Action Camera,4.3,"₹24,990","₹34,990",28%, 64 MP4K1 Year Warranty
888,Canon R100 Mirrorless Camera RF,4.5,"₹44,990","₹64,995",30%,DIGIC 8 Image Processor
889,Canon EOS 200D II DSLR Camera EF,4.5,"₹52,990","₹68,995",23%,Vari-angle Touch Screen LCD
890,"dji Action 2 Power Combo Power Combo with Module, Magnetic Versatility, 4K Recording Upto 120 fps and ...",4.2,"₹14,990","₹44,990",66%, 12 MP4K1 Year Manufacturer Warranty
891,FUJIFILM Instax Treasure Box Mini 11 Instant Camera,4.4,"₹6,499","₹8,499",23%, AutomaticView Finder
892,FUJIFILM Instax Mini 11 Instant Camera,4.3,"₹5,999","₹7,999",25%, ManualView Finder
893,dji Osmo Action Action 4 Standard Combo Sports and Action Camera,4.5,"₹32,990","₹44,990",26%, 12 MP4K1 Year Warranty
894,Canon EOS 1500D DSLR Camera Body+ 18,4.5,"₹38,990","₹47,995",18%,Self-Timer
